epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0887,1.31353,2.45586,1.7207,1.49307,0.28127,0.29108,0.24628,0.10168,0.27819,0.26949,0.25405,0.10927,2.70968,4.36863,2.87827,2.84061,0.000550272,0.000550272,0.000550272
2,114.979,1.21979,2.00463,1.1022,1.38009,0.5448,0.42736,0.43624,0.28868,0.54893,0.42466,0.43333,0.28111,2.17088,3.71858,4.01826,2.41516,0.00108404,0.00108404,0.00108404
3,172.997,1.22438,1.98391,1.04002,1.36351,0.46395,0.4443,0.48478,0.33252,0.4633,0.35141,0.36313,0.16996,1.96764,5.2383,2.66997,2.24072,0.00159581,0.00159581,0.00159581
4,230.498,1.1767,1.88152,0.99325,1.34906,0.45074,0.43176,0.47789,0.32561,0.45001,0.43287,0.47691,0.33955,1.8885,2.90129,2.58802,2.3309,0.00156798,0.00156798,0.00156798
5,287.451,1.13967,1.86502,0.93193,1.31477,0.00679,0.36982,0.00759,0.00424,0.00505,0.24862,0.00618,0.00303,2.34097,5.14443,5.44833,2.9811,0.00153497,0.00153497,0.00153497
6,344.581,1.08914,1.84868,0.88744,1.28529,0.41438,0.45813,0.42936,0.27744,0.4061,0.43668,0.40618,0.23081,2.03588,3.26248,2.15504,2.30583,0.00150197,0.00150197,0.00150197
7,400.847,1.09176,1.80936,0.86593,1.27208,0.43874,0.56065,0.51838,0.36551,0.44485,0.56045,0.51691,0.34909,1.75853,2.8303,1.92736,1.9768,0.00146896,0.00146896,0.00146896
8,456.771,1.04226,1.7707,0.82362,1.24787,0.44952,0.5523,0.52357,0.3687,0.4508,0.54898,0.51791,0.35703,1.72542,2.75946,1.71519,1.91682,0.00143595,0.00143595,0.00143595
9,513.812,1.03134,1.75207,0.82829,1.24131,0.49269,0.58596,0.51761,0.37244,0.49095,0.57266,0.51174,0.35998,1.75121,2.82261,1.96624,2.01934,0.00140295,0.00140295,0.00140295
10,570.316,0.98889,1.7195,0.7666,1.21416,0.49868,0.62487,0.57395,0.40885,0.48422,0.6043,0.55541,0.3697,1.618,2.79448,1.66556,1.83243,0.00136994,0.00136994,0.00136994
11,627.559,1.00047,1.6616,0.76503,1.21877,0.4892,0.51379,0.49393,0.36385,0.49651,0.52202,0.49492,0.36111,1.63732,2.62952,2.09981,1.96965,0.00133693,0.00133693,0.00133693
12,683.302,0.98877,1.67888,0.76455,1.2197,0.94411,0.46042,0.54807,0.3938,0.94455,0.46087,0.54661,0.37522,1.70736,2.72489,2.01394,1.92248,0.00130393,0.00130393,0.00130393
13,739.064,0.9773,1.64822,0.74135,1.2124,0.57359,0.58921,0.56317,0.39913,0.57713,0.58948,0.56189,0.37795,1.60719,2.57072,1.65855,1.84662,0.00127092,0.00127092,0.00127092
14,795.726,0.96084,1.64108,0.72691,1.20152,0.58007,0.49402,0.47925,0.33879,0.573,0.47674,0.4694,0.32066,1.6899,2.70535,2.03568,1.97029,0.00123791,0.00123791,0.00123791
15,851.567,0.93543,1.57597,0.71254,1.18785,0.4514,0.45484,0.51399,0.3783,0.4514,0.45484,0.50732,0.36244,1.64661,2.7461,2.00783,1.98995,0.00120491,0.00120491,0.00120491
16,907.506,0.93487,1.61259,0.6997,1.18031,0.58489,0.61614,0.59877,0.41482,0.57587,0.60669,0.58243,0.38732,1.5528,2.6656,1.60568,1.81295,0.0011719,0.0011719,0.0011719
17,963.646,0.92104,1.6165,0.69616,1.17428,0.5214,0.61738,0.58201,0.41489,0.5251,0.61112,0.57438,0.38694,1.56451,2.56363,1.73986,1.81976,0.00113889,0.00113889,0.00113889
18,1019.71,0.91594,1.59318,0.6825,1.17259,0.45467,0.45303,0.52408,0.39564,0.45579,0.45156,0.51688,0.36731,1.65699,2.69047,1.87408,1.94161,0.00110589,0.00110589,0.00110589
19,1075.52,0.91505,1.61829,0.69193,1.17596,0.55456,0.62201,0.58227,0.42134,0.54676,0.60195,0.56784,0.38315,1.54926,2.73182,1.58078,1.81097,0.00107288,0.00107288,0.00107288
20,1131.32,0.90482,1.5977,0.68632,1.16737,0.42617,0.5744,0.52393,0.39962,0.42303,0.56443,0.51673,0.37095,1.61585,2.64023,2.10834,2.04284,0.00103987,0.00103987,0.00103987
21,1186.94,0.90707,1.57486,0.66057,1.16287,0.54721,0.61072,0.58232,0.42473,0.57043,0.60062,0.57957,0.39561,1.64291,2.65542,1.78393,1.92371,0.00100687,0.00100687,0.00100687
22,1242.58,0.88959,1.5356,0.64698,1.1549,0.64365,0.55994,0.58591,0.40569,0.6453,0.53968,0.57838,0.38235,1.62545,2.55416,1.73603,1.81824,0.000973861,0.000973861,0.000973861
23,1298.67,0.88446,1.50964,0.63946,1.15133,0.57438,0.65357,0.62658,0.43268,0.5781,0.64365,0.61881,0.40155,1.51512,2.61269,1.55705,1.76433,0.000940855,0.000940855,0.000940855
24,1354.4,0.88543,1.5433,0.64427,1.1553,0.65408,0.62013,0.6178,0.43255,0.64277,0.60913,0.60056,0.39503,1.54671,2.62644,1.5236,1.85644,0.000907848,0.000907848,0.000907848
25,1409.79,0.8616,1.52308,0.61905,1.14265,0.52148,0.61079,0.57113,0.41338,0.5285,0.60212,0.56505,0.38812,1.59936,2.50641,1.66879,1.91851,0.000874842,0.000874842,0.000874842
26,1465.28,0.88214,1.51851,0.63378,1.15107,0.54951,0.64548,0.59471,0.42794,0.54392,0.63094,0.58372,0.39451,1.66002,2.57277,1.5648,1.82913,0.000841835,0.000841835,0.000841835
27,1520.73,0.85533,1.51499,0.6058,1.12979,0.67825,0.61384,0.62349,0.43053,0.68147,0.60156,0.61229,0.39415,1.54722,2.66829,1.56633,1.76656,0.000808828,0.000808828,0.000808828
28,1576.38,0.83711,1.47994,0.59253,1.12642,0.61983,0.64503,0.62454,0.44354,0.60242,0.63539,0.60316,0.40625,1.49689,2.56026,1.47751,1.81415,0.000775822,0.000775822,0.000775822
29,1631.8,0.84555,1.50211,0.60562,1.12639,0.66553,0.63532,0.63586,0.44675,0.66718,0.62111,0.62299,0.41138,1.53106,2.46116,1.48092,1.75913,0.000742815,0.000742815,0.000742815
30,1687.25,0.81996,1.44523,0.57438,1.11061,0.53546,0.65995,0.62688,0.44192,0.54715,0.64854,0.62556,0.41249,1.52072,2.53185,1.57452,1.74785,0.000709809,0.000709809,0.000709809
31,1742.79,0.8155,1.42903,0.5742,1.11463,0.62035,0.61688,0.59102,0.41837,0.61369,0.59699,0.57452,0.3861,1.5744,2.52211,1.56719,1.83677,0.000676802,0.000676802,0.000676802
32,1797.99,0.81795,1.45456,0.56568,1.11254,0.65464,0.65077,0.63433,0.44503,0.64764,0.64039,0.62424,0.40762,1.53456,2.48796,1.41448,1.75243,0.000643795,0.000643795,0.000643795
33,1853.46,0.80606,1.43625,0.55691,1.1045,0.68139,0.65664,0.64918,0.4445,0.67539,0.64804,0.63524,0.40923,1.56483,2.45837,1.4282,1.78023,0.000610789,0.000610789,0.000610789
34,1908.77,0.81222,1.41883,0.56508,1.11058,0.65864,0.61264,0.60791,0.43016,0.64697,0.59684,0.58847,0.3966,1.57052,2.53165,1.60123,1.83056,0.000577782,0.000577782,0.000577782
35,1964.53,0.79737,1.42676,0.5458,1.10507,0.66311,0.62387,0.62473,0.4406,0.66517,0.62131,0.61618,0.40853,1.49864,2.45182,1.48072,1.74442,0.000544776,0.000544776,0.000544776
36,2020,0.78572,1.41709,0.54724,1.101,0.62954,0.65696,0.63819,0.44735,0.62627,0.64555,0.62525,0.40776,1.48505,2.40707,1.43023,1.7371,0.000511769,0.000511769,0.000511769
37,2075.58,0.78237,1.41261,0.53588,1.09691,0.65294,0.64146,0.63506,0.44749,0.65982,0.64022,0.6309,0.41098,1.49612,2.62239,1.44559,1.76244,0.000478762,0.000478762,0.000478762
38,2131.35,0.76814,1.39119,0.52396,1.08152,0.70072,0.64435,0.65356,0.44599,0.69956,0.62995,0.64562,0.40981,1.5059,2.47972,1.43681,1.74131,0.000445756,0.000445756,0.000445756
39,2186.88,0.77671,1.42464,0.53192,1.0886,0.68563,0.61807,0.62438,0.4312,0.68495,0.60664,0.6127,0.39527,1.55058,2.51472,1.48231,1.76488,0.000412749,0.000412749,0.000412749
40,2242.21,0.77542,1.42525,0.53341,1.09346,0.70173,0.60536,0.62781,0.43077,0.69493,0.59991,0.61412,0.39919,1.59043,2.54838,1.49755,1.78884,0.000379743,0.000379743,0.000379743
41,2298.08,0.66617,1.44933,0.46511,1.07917,0.61491,0.66296,0.62863,0.45002,0.60909,0.64757,0.61205,0.41693,1.52009,2.4869,1.45642,1.77859,0.000346736,0.000346736,0.000346736
42,2353.44,0.65997,1.43671,0.45165,1.07034,0.70156,0.63628,0.66459,0.46369,0.69004,0.63032,0.65085,0.42747,1.51818,2.46462,1.42989,1.75058,0.000313729,0.000313729,0.000313729
43,2408.3,0.64646,1.40181,0.43613,1.05511,0.69976,0.6601,0.66779,0.46489,0.69789,0.64751,0.64759,0.42573,1.55575,2.50608,1.34001,1.74093,0.000280723,0.000280723,0.000280723
44,2463.23,0.64469,1.40413,0.42996,1.0624,0.68144,0.67183,0.66012,0.46346,0.68532,0.65553,0.64683,0.42289,1.53142,2.53808,1.35605,1.76983,0.000247716,0.000247716,0.000247716
45,2518.06,0.63187,1.37597,0.41026,1.05148,0.70097,0.63592,0.65094,0.45837,0.69483,0.62769,0.6362,0.41926,1.57283,2.5088,1.42488,1.79671,0.00021471,0.00021471,0.00021471
46,2572.94,0.62143,1.37708,0.40257,1.04297,0.71727,0.65811,0.67001,0.46559,0.71583,0.6427,0.65752,0.42735,1.56084,2.50919,1.35586,1.77985,0.000181703,0.000181703,0.000181703
47,2627.58,0.61159,1.36572,0.38833,1.0328,0.69186,0.68572,0.67648,0.46979,0.68515,0.67503,0.65746,0.42482,1.56927,2.54878,1.32597,1.78745,0.000148696,0.000148696,0.000148696
